SO Description,CustCode,Dsg Ctg,Prod Ctg,PPC Delivery Period,Factory,Set Type,MS Qty,WS Qty,KT,Total Bag Bal,Bal To Prod Qty,Bal To Exp Qty,BalToMfg,CastBal
Mined Stone Brooch Order,CUST0077,NECKLACE,LUXURY LINE,W14-2026,F4,MS,37,0,PT95,448,184,40,186,69
Natural Diamond Anklet,CUST0070,NECKLACE,LUXURY LINE,W22-2026,F10,WS/MS,20,11,10K92,149,421,164,253,90
LGD Diamond Earring Set,CUST0047,NECKLACE,FASHION JEWELRY,W42-2026,F2,WS/MS,6,22,09KPT,39,452,147,309,185
Natural Stone Pendant,CUST0027,NECKLACE,EVERYDAY WEAR,W13-2026,F10,WS/MS,11,8,14K92,591,433,177,236,87
LGD Diamond Bangle,CUST0008,EARRING,MODERN DESIGN,Overdue,F1,WS,0,3,09K,483,115,72,319,120
Natural Diamond Anklet,CUST0051,PENDANT,EVERYDAY WEAR,W32-2026,F3,WS,0,47,U18K,200,31,62,136,104
Mined Diamond Necklace Order,CUST0003,RING,STATEMENT PIECES,W21-2026,F4,MS,11,0,U10K,76,229,88,114,80
Mined Diamond Bridal Set,CUST0044,BOLO BRACELET,FINE JEWELRY,W34-2026,F2,WS,0,14,10K,4,303,141,230,75
Natural Stone Pendant,CUST0013,EAR PARTY,VINTAGE STYLE,W45-2026,F10,WS,0,21,S925,927,70,174,226,87
LGD Diamond Necklace,CUST0020,ANKLET,LUXURY LINE,W06-2026,F4,MS,21,0,09K,834,297,15,313,188
Mined Stone Ring Collection,CUST0068,BRACELET,BRIDAL COLLECTION,W30-2026,F3,WS,0,17,S930,259,474,161,192,28
Natural Stone Pendant,CUST0028,RING BRIDAL,BRIDAL COLLECTION,Due,F10,MS,4,0,14K92,403,191,135,396,17
LGD Solitaire Engagement Ring,CUST0046,PENDANT,MODERN DESIGN,W26-2026,F10,MS,33,0,14K,256,80,55,268,130
Mined Stone Brooch Order,CUST0054,PENDANT,BRIDAL COLLECTION,W05-2026,F9,MS,24,0,U14K,752,279,257,377,135
LGD Pendant Collection,CUST0017,RING,STATEMENT PIECES,W22-2026,F10,WS/MS,30,21,14K92,695,400,73,2,198
LGD Pendant Collection,CUST0040,RING,EVERYDAY WEAR,W02-2026,F1,MS,30,0,14K92,588,417,229,143,53
LGD Diamond Bangle,CUST0013,RING,VINTAGE STYLE,Due,F3,WS,0,37,U14K,594,450,253,383,68
LGD Solitaire Engagement Ring,CUST0021,RING,LUXURY LINE,W12-2026,F10,WS/MS,22,12,U18K,862,477,22,168,3
Mined Diamond Bridal Set,CUST0100,RING BRIDAL,LUXURY LINE,Due,F2,MS,30,0,18K,903,112,69,48,25
Mined Stone Ring Collection,CUST0004,RING,CLASSIC COLLECTION,W51-2026,F4,WS/MS,9,29,18K,468,383,270,341,150
Natural Diamond Bangle Order,CUST0054,BRACELET,CLASSIC COLLECTION,W40-2026,F1,MS,34,0,09K,646,413,192,28,160
LGD Diamond Ring Order,CUST0098,BRACELET,BRIDAL COLLECTION,Due,F2,MS,2,0,S928,594,45,64,137,116
Mined Diamond Necklace Order,CUST0017,EAR PARTY,EVERYDAY WEAR,Due,F2,WS,0,12,U18K,730,62,202,231,47
LGD Eternity Ring,CUST0099,NECK PIECE,MODERN DESIGN,W10-2026,F9,WS/MS,6,13,18K,113,306,119,127,54
LGD Diamond Ring Order,CUST0094,NECKLACE,FASHION JEWELRY,W09-2026,F4,WS,0,41,S930,116,279,260,10,18
LGD Pendant Collection,CUST0077,NECKLACE,BRIDAL COLLECTION,W20-2026,F1,WS,0,44,S930,782,22,169,393,169
LGD Diamond Bangle,CUST0009,EAR PARTY,LUXURY LINE,W04-2026,F9,MS,31,0,14K92,235,77,216,207,17
LGD Bridal Set Order,CUST0008,RING BRIDAL,STATEMENT PIECES,Overdue,F10,MS,34,0,09KPT,402,56,37,383,129
Mined Diamond Necklace Order,CUST0048,BRACELET,VINTAGE STYLE,W07-2026,F1,WS,0,15,14K92,826,52,131,50,65
Mined Diamond Necklace Order,CUST0058,RING BRIDAL,MODERN DESIGN,W02-2026,F2,MS,30,0,14K92,14,208,165,150,14
LGD Diamond Bangle,CUST0066,NECKLACE,VINTAGE STYLE,W42-2026,F3,WS/MS,5,13,S925,812,14,123,115,38
Mined Diamond Necklace Order,CUST0028,EARRING,LUXURY LINE,Due,F3,MS,3,0,14K92,970,410,245,282,24
LGD Tennis Bracelet Order,CUST0068,RING BRIDAL,FASHION JEWELRY,Overdue,F3,WS,0,23,U09K,976,254,196,63,51
LGD Bridal Set Order,CUST0041,BRACELET,LUXURY LINE,W28-2026,F3,WS,0,42,10K,588,60,289,359,127
LGD Diamond Bangle,CUST0059,RING,FINE JEWELRY,Overdue,F9,WS/MS,16,25,09KPT,761,497,224,307,54
Natural Diamond Anklet,CUST0084,RING BRIDAL,CLASSIC COLLECTION,W47-2026,F9,WS,0,33,U18K,728,220,43,368,116
LGD Pendant Collection,CUST0011,RING BRIDAL,LUXURY LINE,Due,F1,MS,11,0,S928,719,486,191,345,71
LGD Diamond Ring Order,CUST0001,NECKLACE,FASHION JEWELRY,Due,F1,WS,0,30,U18K,711,88,87,295,193
LGD Solitaire Engagement Ring,CUST0089,RING BRIDAL,MODERN DESIGN,W13-2026,F4,MS,23,0,09KPT,314,315,175,192,130
Mined Diamond Bridal Set,CUST0030,EARRING,EVERYDAY WEAR,W11-2026,F4,WS,0,9,10K92,459,166,258,14,77
Mined Diamond Necklace Order,CUST0085,RING,CLASSIC COLLECTION,W37-2026,F10,MS,41,0,BRASS,615,397,256,112,147
LGD Tennis Bracelet Order,CUST0071,RING BRIDAL,EVERYDAY WEAR,W05-2026,F1,MS,17,0,U14K,830,35,100,390,177
Natural Diamond Ring Order,CUST0007,RING,LUXURY LINE,W43-2026,F10,MS,8,0,S928,769,303,61,357,86
Mined Stone Earring Set,CUST0041,EARRING,CLASSIC COLLECTION,Due,F2,WS,0,14,10K92,278,466,91,266,115
Mined Stone Earring Set,CUST0023,ANKLET,CLASSIC COLLECTION,W23-2026,F2,MS,25,0,10K92,811,217,283,310,113
LGD Halo Ring Order,CUST0094,BRACELET,FINE JEWELRY,W28-2026,F1,WS/MS,29,7,PT95,532,393,131,63,187
Natural Stone Pendant,CUST0080,RING,CLASSIC COLLECTION,Overdue,F2,MS,21,0,S928,690,197,293,16,63
Mined Stone Earring Set,CUST0011,RING BRIDAL,CLASSIC COLLECTION,W13-2026,F10,MS,18,0,09KPT,652,394,154,22,12
Natural Diamond Bangle Order,CUST0076,EARRING,FINE JEWELRY,W32-2026,F1,MS,12,0,10K,698,172,21,396,17
Natural Diamond Anklet,CUST0013,RING BRIDAL,LUXURY LINE,Due,F4,WS/MS,8,24,10K,274,197,277,293,145
Mined Stone Ring Collection,CUST0004,RING BRIDAL,LUXURY LINE,W51-2026,F1,MS,10,0,09K92,29,492,74,282,43
Mined Diamond Bridal Set,CUST0053,EARRING,VINTAGE STYLE,W13-2026,F3,WS/MS,20,13,09KPT,696,182,21,219,63
LGD Diamond Earring Set,CUST0072,RING,MODERN DESIGN,W06-2026,F1,MS,46,0,10K92,339,98,136,271,118
Natural Diamond Ring Order,CUST0081,RING,CLASSIC COLLECTION,To Check,F3,MS,28,0,U14K,24,318,10,4,98
LGD Diamond Bangle,CUST0033,RING BRIDAL,STATEMENT PIECES,W17-2026,F10,WS/MS,5,17,09KPT,136,57,174,325,48
LGD Pendant Collection,CUST0072,BROOCH,VINTAGE STYLE,W45-2026,F1,MS,27,0,S930,348,441,101,204,43
Mined Stone Earring Set,CUST0089,BRACELET,FASHION JEWELRY,W27-2026,F10,MS,26,0,14K92,351,425,39,310,186
LGD Diamond Necklace,CUST0011,RING BRIDAL,MODERN DESIGN,W19-2026,F2,WS,0,27,09K92,293,42,282,2,124
LGD Halo Ring Order,CUST0016,NECK PIECE,CLASSIC COLLECTION,W02-2026,F3,WS,0,32,S930,968,424,48,371,19
Natural Diamond Anklet,CUST0019,RING,VINTAGE STYLE,W32-2026,F4,MS,35,0,09K,955,352,85,347,60
Natural Diamond Anklet,CUST0005,RING BRIDAL,STATEMENT PIECES,W14-2026,F9,WS,0,17,14K,18,224,83,245,76
Natural Diamond Bracelet,CUST0095,RING,FASHION JEWELRY,To Check,F2,WS,0,45,S925,963,141,2,81,118
Natural Diamond Bangle Order,CUST0063,EARRING,EVERYDAY WEAR,Overdue,F2,WS,0,23,10K,187,477,36,231,54
LGD Bridal Set Order,CUST0084,RING,LUXURY LINE,W08-2026,F2,MS,30,0,U09K,538,492,2,280,59
Mined Diamond Bridal Set,CUST0028,RING,FASHION JEWELRY,W18-2026,F4,MS,45,0,U10K,741,324,155,86,183
LGD Diamond Ring Order,CUST0087,EARRING,MODERN DESIGN,W01-2026,F4,WS,0,27,U18K,517,374,153,276,37
LGD Eternity Ring,CUST0067,RING,BRIDAL COLLECTION,Due,F10,MS,4,0,09K,15,249,15,24,94
LGD Bridal Set Order,CUST0067,BRACELET,EVERYDAY WEAR,Due,F1,WS,0,27,09K92,22,322,270,246,79
LGD Diamond Necklace,CUST0096,RING,MODERN DESIGN,W39-2026,F3,WS,0,31,18K,650,89,43,273,33
LGD Eternity Ring,CUST0048,NECKLACE,EVERYDAY WEAR,W39-2026,F3,MS,1,0,U18K,53,35,265,308,121
Natural Stone Pendant,CUST0091,BRACELET,LUXURY LINE,To Check,F3,WS,0,20,U09K,58,336,37,396,199
Natural Diamond Bangle Order,CUST0060,RING,STATEMENT PIECES,To Check,F9,MS,27,0,09KPT,20,57,153,387,33
LGD Diamond Earring Set,CUST0064,EARRING,BRIDAL COLLECTION,W10-2026,F3,WS/MS,25,23,U18K,703,316,106,296,79
Natural Diamond Bangle Order,CUST0083,NECKLACE,BRIDAL COLLECTION,W09-2026,F10,WS,0,50,U09K,932,1,181,359,163
LGD Halo Ring Order,CUST0045,RING,LUXURY LINE,W52-2026,F1,MS,34,0,U14K,990,475,26,318,200
Natural Stone Pendant,CUST0053,NECK PIECE,CLASSIC COLLECTION,W28-2026,F2,WS/MS,5,8,S925,535,11,197,349,176
Mined Stone Brooch Order,CUST0064,EARRING,STATEMENT PIECES,W07-2026,F3,MS,25,0,U09K,205,147,19,168,85
LGD Diamond Ring Order,CUST0080,NECK PIECE,STATEMENT PIECES,W46-2026,F9,MS,29,0,10K92,777,254,86,257,124
LGD Pendant Collection,CUST0078,BRACELET,EVERYDAY WEAR,Overdue,F9,WS,0,5,S930,84,86,229,238,161
LGD Pendant Collection,CUST0040,RING,VINTAGE STYLE,W29-2026,F2,WS/MS,2,24,S925,890,213,212,66,161
LGD Eternity Ring,CUST0038,BANGLE,LUXURY LINE,W45-2026,F3,MS,13,0,09K,490,386,68,66,74
Mined Diamond Bridal Set,CUST0017,RING,FINE JEWELRY,W33-2026,F3,WS,0,20,09K92,392,254,144,9,5
Mined Stone Ring Collection,CUST0087,PENDANT,MODERN DESIGN,W05-2026,F10,WS/MS,13,9,PT95,722,355,234,288,62
LGD Bridal Set Order,CUST0057,NECKLACE,CLASSIC COLLECTION,Overdue,F3,WS,0,50,09KPT,44,7,117,305,2
Natural Diamond Bracelet,CUST0044,RING,MODERN DESIGN,W10-2026,F9,WS,0,40,14K92,996,316,174,176,161
LGD Diamond Necklace,CUST0099,BRACELET,LUXURY LINE,Due,F2,WS/MS,2,25,S930,39,321,203,222,149
LGD Diamond Ring Order,CUST0034,PENDANT,MODERN DESIGN,W23-2026,F9,MS,12,0,14K92,839,158,98,135,113
Natural Diamond Anklet,CUST0058,RING BRIDAL,FINE JEWELRY,W28-2026,F4,MS,1,0,BRASS,549,165,266,49,193
LGD Bridal Set Order,CUST0012,RING,FINE JEWELRY,To Check,F9,MS,31,0,U10K,601,329,300,177,136
LGD Diamond Necklace,CUST0069,RING,FINE JEWELRY,W22-2026,F3,MS,31,0,18K,21,315,59,35,26
Natural Diamond Anklet,CUST0005,NECK PIECE,BRIDAL COLLECTION,W20-2026,F1,MS,46,0,09KPT,791,399,1,31,99
Natural Stone Pendant,CUST0056,RING BRIDAL,STATEMENT PIECES,W39-2026,F9,WS/MS,22,12,18K,46,36,109,208,109
LGD Halo Ring Order,CUST0067,EAR PARTY,STATEMENT PIECES,W22-2026,F9,WS/MS,16,9,10K,805,157,224,296,65
Natural Diamond Bracelet,CUST0078,EARRING,FASHION JEWELRY,W47-2026,F9,MS,31,0,BRASS,200,104,71,6,40
LGD Diamond Earring Set,CUST0017,RING,FINE JEWELRY,Overdue,F2,WS,0,28,18K,548,401,154,17,31
LGD Diamond Earring Set,CUST0065,EARRING,CLASSIC COLLECTION,Due,F10,WS,0,36,U14K,440,493,25,301,118
Mined Diamond Bridal Set,CUST0026,RING BRIDAL,FASHION JEWELRY,W07-2026,F9,WS,0,44,14K92,642,301,106,20,105
Natural Diamond Ring Order,CUST0013,NECK PIECE,FINE JEWELRY,W48-2026,F2,WS,0,4,10K,245,149,81,305,12
Natural Diamond Bracelet,CUST0080,BANGLE,STATEMENT PIECES,W43-2026,F2,MS,25,0,U09K,31,172,290,108,73
