CustCode,Factory,BalToMfg
CUST0077,F4,186
CUST0070,F10,253
CUST0047,F2,309
CUST0027,F10,236
CUST0008,F1,319
CUST0051,F3,136
CUST0003,F4,114
CUST0044,F2,230
CUST0013,F10,226
CUST0020,F4,313
CUST0068,F3,192
CUST0028,F10,396
CUST0046,F10,268
CUST0054,F9,377
CUST0017,F10,2
CUST0040,F1,143
CUST0013,F3,383
CUST0021,F10,168
CUST0100,F2,48
CUST0004,F4,341
CUST0054,F1,28
CUST0098,F2,137
CUST0017,F2,231
CUST0099,F9,127
CUST0094,F4,10
CUST0077,F1,393
CUST0009,F9,207
CUST0008,F10,383
CUST0048,F1,50
CUST0058,F2,150
CUST0066,F3,115
CUST0028,F3,282
CUST0068,F3,63
CUST0041,F3,359
CUST0059,F9,307
CUST0084,F9,368
CUST0011,F1,345
CUST0001,F1,295
CUST0089,F4,192
CUST0030,F4,14
CUST0085,F10,112
CUST0071,F1,390
CUST0007,F10,357
CUST0041,F2,266
CUST0023,F2,310
CUST0094,F1,63
CUST0080,F2,16
CUST0011,F10,22
CUST0076,F1,396
CUST0013,F4,293
CUST0004,F1,282
CUST0053,F3,219
CUST0072,F1,271
CUST0081,F3,4
CUST0033,F10,325
CUST0072,F1,204
CUST0089,F10,310
CUST0011,F2,2
CUST0016,F3,371
CUST0019,F4,347
CUST0005,F9,245
CUST0095,F2,81
CUST0063,F2,231
CUST0084,F2,280
CUST0028,F4,86
CUST0087,F4,276
CUST0067,F10,24
CUST0067,F1,246
CUST0096,F3,273
CUST0048,F3,308
CUST0091,F3,396
CUST0060,F9,387
CUST0064,F3,296
CUST0083,F10,359
CUST0045,F1,318
CUST0053,F2,349
CUST0064,F3,168
CUST0080,F9,257
CUST0078,F9,238
CUST0040,F2,66
CUST0038,F3,66
CUST0017,F3,9
CUST0087,F10,288
CUST0057,F3,305
CUST0044,F9,176
CUST0099,F2,222
CUST0034,F9,135
CUST0058,F4,49
CUST0012,F9,177
CUST0069,F3,35
CUST0005,F1,31
CUST0056,F9,208
CUST0067,F9,296
CUST0078,F9,6
CUST0017,F2,17
CUST0065,F10,301
CUST0026,F9,20
CUST0013,F2,305
CUST0080,F2,108
CUST0066,F4,294
CUST0054,F1,305
CUST0034,F10,164
CUST0089,F3,257
CUST0099,F2,110
CUST0064,F10,395
CUST0016,F2,28
CUST0064,F2,254
CUST0068,F9,371
CUST0022,F10,387
CUST0095,F3,1
CUST0022,F1,345
CUST0029,F4,124
CUST0079,F9,218
CUST0040,F2,206
CUST0008,F1,392
CUST0023,F4,192
CUST0077,F4,96
CUST0069,F10,120
CUST0043,F2,358
CUST0034,F1,46
CUST0029,F9,328
CUST0018,F4,9
CUST0037,F4,64
CUST0026,F10,62
